Finished,RecordedDate,Q2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q8_1,Q8_4,Q8_5,Q8_6,Q8_7,Q8_7_TEXT,Q9_1,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_12_TEXT,Q11,Q12,Q13,Q15_1,Q15_4,Q15_13,Q15_12,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
TRUE,10/4/25 15:59,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Very confident,Very confident,Moderately confident,Very confident,Very confident,Very confident,Very confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,Discussion prompts,,Podcasts,,Short video clips,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Creative and Performing Arts, Media, and Design",,,,,,,,,,,None of the above
TRUE,10/29/25 9:17,Agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Slightly confident,Moderately confident,Moderately confident,Not confident at all,Slightly confident,Slightly confident,Moderately confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,,Short video clips,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,10/29/25 11:42,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,,Short video clips,Simulations,,,"Another resource, please describe:",Observations,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,"A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,,,
TRUE,11/20/25 13:26,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Neutral,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Very confident,Very confident,Very confident,Slightly confident,Slightly confident,Moderately confident,Very confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,,Scholarly articles,Short video clips,Simulations,,,,,UC Merced,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,,A member of the LGBTQIA+ community,,,,,,,,
TRUE,9/23/25 14:41,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Very confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,Discussion prompts,Expert interviews,,,,,,,,,UC Berkeley,Another role,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,,None of the above
TRUE,9/24/25 9:47,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Moderately confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Moderately confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,,,Simulations,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,"A transgender, non-binary, and/or genderqueer person",,A person with a minoritized gender identity in my disicpline,,,A person who is first in my family to go to college,,,,
TRUE,9/24/25 15:21,Agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Strongly disagree,Unsure / Unapplicable,Strongly agree,Somewhat disagree,Unsure / Unapplicable,Unsure / Unapplicable,Moderately confident,Moderately confident,Very confident,Moderately confident,Unsure / Unapplicable,Moderately confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,Expert interviews,Podcasts,,,,,Theoretical frameworks,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,,,,,,A person who is first in my family to go to college,A person from a low-income family background,,,
TRUE,9/24/25 21:22,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Moderately confident,Very confident,Moderately confident,Very confident,Very confident,Very confident,Very confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,Discussion prompts,,,,,,Testimonials,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,,,,,,,None of the above
TRUE,9/25/25 9:17,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Very confident,Very confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,,Short video clips,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,Another discipline,"A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,,,
TRUE,9/26/25 15:35,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neutral,Moderately confident,Moderately confident,Very confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,Expert interviews,Podcasts,,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,,,,,None of the above
TRUE,9/28/25 16:08,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Somewhat disagree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Neutral,Moderately confident,Very confident,Moderately confident,Slightly confident,Moderately confident,Unsure / Unapplicable,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,,None of the above
TRUE,10/2/25 10:32,Agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Not confident at all,Moderately confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,Expert interviews,,,Short video clips,,Testimonials,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,A person who immigrated to the United States,,
TRUE,10/2/25 11:05,Agree,Somewhat agree,Somewhat disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Very confident,Moderately confident,Moderately confident,Slightly confident,Very confident,Moderately confident,Moderately confident,Slightly confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,,,Simulations,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,10/2/25 16:37,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Moderately confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,Expert interviews,Podcasts,Scholarly articles,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,"A transgender, non-binary, and/or genderqueer person",A member of the LGBTQIA+ community,A person with a minoritized gender identity in my disicpline,A person living with a disability,A person who is neurodivergent,,,A person who immigrated to the United States,,
TRUE,10/7/25 7:50,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Moderately confident,Very confident,Moderately confident,Slightly confident,Moderately confident,Moderately confident,Very confident,Slightly confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,Expert interviews,,,Short video clips,,,Theoretical frameworks,,,UC Berkeley,Another role,Social Sciences and Area Studies,,,,,,,,A person from a low-income family background,,,
TRUE,10/22/25 15:49,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Very confident,Very confident,Very confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,Very confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,,Scholarly articles,,,,,,,UC Santa Cruz,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,,,,,None of the above
TRUE,10/29/25 9:27,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Very confident,Very confident,Very confident,Slightly confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,Expert interviews,,,,,,,,,UC Berkeley,Senate Faculty,"Creative and Performing Arts, Media, and Design",,,,,,,,,,,None of the above
TRUE,10/29/25 9:49,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Strongly disagree,Neutral,Neutral,Very confident,Moderately confident,Very confident,Slightly confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,Discussion prompts,Expert interviews,,,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Creative and Performing Arts, Media, and Design","A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,A person who immigrated to the United States,,
TRUE,10/29/25 11:29,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Very confident,Moderately confident,Very confident,Slightly confident,Slightly confident,Very confident,Very confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,Scholarly articles,Short video clips,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,"A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,,,
TRUE,10/30/25 12:21,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Moderately confident,Slightly confident,Very confident,Slightly confident,Slightly confident,Moderately confident,Moderately confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,Expert interviews,,,Short video clips,,Testimonials,,,,UC Berkeley,Graduate Student Instructor,"History, Languages, and Literatures",,,A member of the LGBTQIA+ community,,,A person who is neurodivergent,,,,,
TRUE,11/3/25 13:00,Agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Very confident,Very confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Slightly confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,Podcasts,,Short video clips,Simulations,,,,,UC Santa Cruz,Senate Faculty,"Creative and Performing Arts, Media, and Design",,,,,,,,,,,None of the above
TRUE,11/14/25 17:09,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neutral,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Slightly confident,Moderately confident,Slightly confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,,,,,,,,UC Merced,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,A person who is first in my family to go to college,,,,
TRUE,10/3/25 11:08,Agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Very confident,Very confident,Very confident,Very confident,Very confident,Slightly confident,Very confident,Very confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,,Short video clips,,,,"Another resource, please describe:",Hands On Experience,UC Berkeley,Another role,"Creative and Performing Arts, Media, and Design","A Black, Indigenous, and/or person of color (BIPOC)","A transgender, non-binary, and/or genderqueer person",A member of the LGBTQIA+ community,A person with a minoritized gender identity in my disicpline,A person living with a disability,A person who is neurodivergent,,,,,
TRUE,10/29/25 9:20,Agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Neutral,Very confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,Very confident,Very confident,,,,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,Scholarly articles,,,Testimonials,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,"A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,,,
TRUE,10/29/25 13:06,Agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Moderately confident,Very confident,Moderately confident,Moderately confident,Very confident,Slightly confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,,,,,,,Expert interviews,,,,,Testimonials,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,A person who is first in my family to go to college,,,,
TRUE,10/29/25 15:30,Agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Moderately confident,Very confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,Expert interviews,,,Short video clips,,Testimonials,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,,,A person who immigrated to the United States,,
TRUE,9/23/25 13:55,Agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neutral,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Very confident,Very confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,A person who immigrated to the United States,,
TRUE,9/23/25 14:15,Agree,Strongly agree,Somewhat disagree,Unsure / Unapplicable,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,Podcasts,,,,,,"Another resource, please describe:",Expert interviews and scholarly articles but you wouldn't let me choose 4 so I've put these two together.,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,,None of the above
TRUE,9/23/25 14:54,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neutral,Neutral,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Slightly confident,Moderately confident,Moderately confident,Very confident,Very confident,Not confident at all,Moderately confident,Slightly confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,Decline to state,
TRUE,9/23/25 18:39,Agree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Moderately confident,Moderately confident,Very confident,Slightly confident,Very confident,Moderately confident,Very confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,Expert interviews,,,,,,,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)","A Black, Indigenous, and/or person of color (BIPOC)",,,,,,,,,,
TRUE,9/23/25 20:32,Agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Very confident,Very confident,Very confident,Moderately confident,Very confident,Moderately confident,Very confident,Very confident,"Asynchronous (e.g. Canvas site, online readings)",,,,,,,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,A person who is neurodivergent,,A person from a low-income family background,,,
TRUE,9/24/25 8:47,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Unsure / Unapplicable,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Very confident,Very confident,Very confident,Not confident at all,Moderately confident,Moderately confident,Moderately confident,Very confident,,Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,Podcasts,,,Simulations,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,,,,A person with a minoritized gender identity in my disicpline,,,,,,,
TRUE,9/24/25 14:45,Agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Moderately confident,Moderately confident,Very confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,Moderately confident,,Synchronous online (e.g. Zoom meeting),,,,,Case studies,,Expert interviews,,,,,Testimonials,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,,,,,
TRUE,10/2/25 10:31,Agree,Strongly agree,Somewhat disagree,Unsure / Unapplicable,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Moderately confident,Very confident,Moderately confident,Very confident,Very confident,Slightly confident,Very confident,Slightly confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,,,,,,,,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,A member of the LGBTQIA+ community,,,,,,,,
TRUE,10/2/25 10:57,Agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Neutral,Unsure / Unapplicable,Strongly disagree,Somewhat disagree,Unsure / Unapplicable,Moderately confident,Moderately confident,Moderately confident,Moderately confident,Very confident,Very confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,,,,,,Discussion prompts,,,,,Simulations,,,"Another resource, please describe:",More GSIs,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,A person who is neurodivergent,,,,,
TRUE,10/22/25 10:51,Agree,Strongly agree,Somewhat disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Moderately confident,Slightly confident,Moderately confident,Moderately confident,Slightly confident,Not confident at all,Very confident,Very confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,,,Podcasts,Scholarly articles,,,,,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,"A Black, Indigenous, and/or person of color (BIPOC)",,,,,A person who is neurodivergent,,A person from a low-income family background,,,
TRUE,10/29/25 12:32,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Neutral,Neutral,Moderately confident,Slightly confident,Moderately confident,Moderately confident,Slightly confident,Moderately confident,Moderately confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,,Scholarly articles,,Simulations,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,Social Sciences and Area Studies,,,,,,,,,,,None of the above
TRUE,10/29/25 10:01,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Very confident,Slightly confident,Moderately confident,Slightly confident,Moderately confident,Very confident,Very confident,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",,"In-person (e.g. on-campus workshop, faculty learning community)",Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,,,,Podcasts,,Short video clips,,Testimonials,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)",Social Sciences and Area Studies,"A Black, Indigenous, and/or person of color (BIPOC)",,,,,,A person who is first in my family to go to college,A person from a low-income family background,,,
TRUE,9/24/25 3:25,Agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Unsure / Unapplicable,Unsure / Unapplicable,Unsure / Unapplicable,Unsure / Unapplicable,Unsure / Unapplicable,Unsure / Unapplicable,Unsure / Unapplicable,Unsure / Unapplicable,,,,,,,,,,,,,,,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","History, Languages, and Literatures",,,,,,,A person who is first in my family to go to college,A person from a low-income family background,,,
TRUE,10/3/25 9:18,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neutral,Neutral,Somewhat disagree,Moderately confident,Moderately confident,Slightly confident,Not confident at all,Moderately confident,Slightly confident,Slightly confident,Slightly confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,,,,,,,,Scholarly articles,,Simulations,Testimonials,,,,UC Berkeley,"Lecturer (Unit 18, continuing, or senior)","Creative and Performing Arts, Media, and Design",,,,,,,,A person from a low-income family background,,,
TRUE,10/29/25 10:48,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly disagree,Neutral,Somewhat agree,Very confident,Moderately confident,Very confident,Very confident,Slightly confident,Very confident,Moderately confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,,,,,,,"Another resource, please describe:","Actual policy actions at the campus level which enable us to teach in ways that do not require the dropping of rigor, while being inclusive. Student evals are a massive problem - students in a class don't really recognise teaching strategies design to give them critical skills for 2-3 years down the road. ",UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,"A transgender, non-binary, and/or genderqueer person",A member of the LGBTQIA+ community,A person with a minoritized gender identity in my disicpline,,A person who is neurodivergent,A person who is first in my family to go to college,,A person who immigrated to the United States,,
TRUE,10/29/25 11:57,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Very confident,Moderately confident,Very confident,Moderately confident,Very confident,Very confident,Very confident,Very confident,,,,,,,,,,,,,,,,,,UC Berkeley,Senate Faculty,"History, Languages, and Literatures",,,,,,,,,A person who immigrated to the United States,,
TRUE,9/23/25 13:57,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Unsure / Unapplicable,Strongly disagree,Strongly disagree,Moderately confident,Very confident,Very confident,Moderately confident,Moderately confident,Very confident,Very confident,Moderately confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,,,,,,,,,,"Another resource, please describe:",I'm not sure I understand the question. Sorry.,UC Berkeley,Another role,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,A person living with a disability,,,,A person who immigrated to the United States,,
TRUE,9/23/25 14:28,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Moderately confident,Very confident,Very confident,Moderately confident,Very confident,Very confident,Unsure / Unapplicable,Moderately confident,"Asynchronous (e.g. Canvas site, online readings)",Synchronous online (e.g. Zoom meeting),,Hybrid or hyflex (i.e. mix of asynchronous/synchronous or in-person/online),,,Case studies,,,,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,A person living with a disability,,,A person from a low-income family background,,,
TRUE,9/23/25 14:47,Agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Very confident,Slightly confident,Moderately confident,Very confident,Moderately confident,Moderately confident,Very confident,Slightly confident,,,"In-person (e.g. on-campus workshop, faculty learning community)",,,,Case studies,Discussion prompts,,,,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Professional Fields (e.g. business, administration, legal, physical and mental health)",,,,,A person living with a disability,A person who is neurodivergent,,,,,
TRUE,9/24/25 13:39,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Moderately confident,Very confident,Very confident,Very confident,Unsure / Unapplicable,Unsure / Unapplicable,Very confident,Unsure / Unapplicable,"Asynchronous (e.g. Canvas site, online readings)",,,,,,Case studies,,,,Scholarly articles,,,,Theoretical frameworks,,,UC Berkeley,Senate Faculty,"Science, Technology, Engineering, and Math (STEM)",,,,,,,,,,,None of the above
